bha,dpa,sa,lba,gba
1.5017988410557823,1.6499552545739316,1.5755520448876523,1.7135327272305545,1.6923792417159025
0.5245570382578619,0.7175377040416345,0.5811758377634245,0.7753309010637217,0.7824991492978457
0.2804525253587756,0.4423031785399064,0.33422976213967664,0.4941365103063912,0.5346449970411159
0.1875778607373265,0.3068555179683642,0.2339342111503256,0.35189347249338,0.41028566019288426
0.1412806620226167,0.23443173539707032,0.1827872390017427,0.27523907405377807,0.34080402856928177
0.11385311123369068,0.1896326133386157,0.1524035315266971,0.23555362363313806,0.3237175738160637
0.09637685755674524,0.15876933824827616,0.13185824046446673,0.1966180402537187,0.276754873987587
0.08406569045293948,0.14716621756468012,0.11806045577186963,0.17638430273909678,0.26616784169071017
0.0747161631388911,0.12686318353674877,0.10711272840356005,0.15351702101014814,0.23523581449156522
0.06825690384911395,0.11601538169743686,0.09870733171701432,0.16161948819013164,0.22402422708684
